-4.949155,	 16.461674,	 7.280165,	 -1.399439,	 -0.423067,	 -0.165529,
-5.534168,	 16.275211,	 7.206759,	 -1.386049,	 -0.464884,	 -0.184034,
-6.113231,	 16.071245,	 7.125607,	 -1.371105,	 -0.506387,	 -0.202423,
-6.685693,	 15.849927,	 7.036760,	 -1.354613,	 -0.547522,	 -0.220674,
-7.250905,	 15.611421,	 6.940280,	 -1.336578,	 -0.588239,	 -0.238763,
-7.808218,	 15.355909,	 6.836240,	 -1.317007,	 -0.628486,	 -0.256667,
-8.356995,	 15.083601,	 6.724723,	 -1.295913,	 -0.668209,	 -0.274364,
-8.896592,	 14.794726,	 6.605821,	 -1.273308,	 -0.707357,	 -0.291831,
-9.426381,	 14.489539,	 6.479637,	 -1.249207,	 -0.745878,	 -0.309043,
-9.945738,	 14.168312,	 6.346279,	 -1.223628,	 -0.783719,	 -0.325979,
-10.454045,	 13.831346,	 6.205870,	 -1.196593,	 -0.820829,	 -0.342615,
-10.950698,	 13.478954,	 6.058540,	 -1.168123,	 -0.857155,	 -0.358929,
-11.435099,	 13.111478,	 5.904431,	 -1.138244,	 -0.892648,	 -0.374897,
-11.906656,	 12.729281,	 5.743691,	 -1.106984,	 -0.927256,	 -0.390497,
-12.364801,	 12.332742,	 5.576481,	 -1.074374,	 -0.960930,	 -0.405707,
-12.808969,	 11.922265,	 5.402968,	 -1.040446,	 -0.993621,	 -0.420505,
-13.238624,	 11.498272,	 5.223329,	 -1.005237,	 -1.025282,	 -0.434870,
-13.653227,	 11.061205,	 5.037753,	 -0.968783,	 -1.055864,	 -0.448780,
-14.052265,	 10.611530,	 4.846431,	 -0.931125,	 -1.085324,	 -0.462216,
-14.435242,	 10.149724,	 4.649570,	 -0.892305,	 -1.113617,	 -0.475157,
-14.801678,	 9.676285,	 4.447382,	 -0.852369,	 -1.140699,	 -0.487583,
-15.151114,	 9.191732,	 4.240086,	 -0.811364,	 -1.166531,	 -0.499477,
-15.483115,	 8.696598,	 4.027909,	 -0.769339,	 -1.191073,	 -0.510820,
-15.797260,	 8.191439,	 3.811088,	 -0.726346,	 -1.214286,	 -0.521595,
-16.093155,	 7.676812,	 3.589862,	 -0.682437,	 -1.236136,	 -0.531786,
-16.370420,	 7.153298,	 3.364480,	 -0.637668,	 -1.256589,	 -0.541377,
-16.628717,	 6.621494,	 3.135199,	 -0.592096,	 -1.275614,	 -0.550354,
-16.867716,	 6.082002,	 2.902278,	 -0.545780,	 -1.293180,	 -0.558702,
-17.087111,	 5.535445,	 2.665986,	 -0.498780,	 -1.309263,	 -0.566411,
-17.286634,	 4.982447,	 2.426591,	 -0.451158,	 -1.323836,	 -0.573467,
-17.466042,	 4.423647,	 2.184371,	 -0.402976,	 -1.336879,	 -0.579860,
-17.625099,	 3.859698,	 1.939607,	 -0.354298,	 -1.348371,	 -0.585582,
-17.763628,	 3.291248,	 1.692582,	 -0.305189,	 -1.358296,	 -0.590623,
-17.881443,	 2.718959,	 1.443585,	 -0.255716,	 -1.366639,	 -0.594976,
-17.978418,	 2.143500,	 1.192903,	 -0.205944,	 -1.373390,	 -0.598636,
-18.054443,	 1.565542,	 0.940830,	 -0.155941,	 -1.378538,	 -0.601598,
-18.109430,	 0.985757,	 0.687661,	 -0.105774,	 -1.382079,	 -0.603858,
-18.143324,	 0.404823,	 0.433690,	 -0.055509,	 -1.384009,	 -0.605413,
-18.156094,	 -0.176584,	 0.179213,	 -0.005216,	 -1.384327,	 -0.606263,
-18.147749,	 -0.757787,	 -0.075472,	 0.045039,	 -1.383035,	 -0.606408,
-18.118317,	 -1.338111,	 -0.330071,	 0.095188,	 -1.380139,	 -0.605848,
-18.067856,	 -1.916883,	 -0.584287,	 0.145166,	 -1.375645,	 -0.604586,
-17.996452,	 -2.493435,	 -0.837826,	 0.194906,	 -1.369564,	 -0.602625,
-17.904222,	 -3.067102,	 -1.090397,	 0.244342,	 -1.361909,	 -0.599971,
-17.791298,	 -3.637227,	 -1.341708,	 0.293410,	 -1.352695,	 -0.596628,
-17.657860,	 -4.203160,	 -1.591472,	 0.342046,	 -1.341940,	 -0.592605,
-17.504089,	 -4.764255,	 -1.839405,	 0.390190,	 -1.329664,	 -0.587908,
-17.330215,	 -5.319877,	 -2.085227,	 0.437778,	 -1.315889,	 -0.582547,
-17.136484,	 -5.869407,	 -2.328658,	 0.484753,	 -1.300641,	 -0.576532,
-16.923157,	 -6.412228,	 -2.569429,	 0.531055,	 -1.283947,	 -0.569875,
-16.690535,	 -6.947740,	 -2.807271,	 0.576629,	 -1.265836,	 -0.562586,
-16.438936,	 -7.475353,	 -3.041921,	 0.621420,	 -1.246338,	 -0.554679,
-16.168701,	 -7.994490,	 -3.273124,	 0.665375,	 -1.225487,	 -0.546167,
-15.880188,	 -8.504594,	 -3.500627,	 0.708443,	 -1.203317,	 -0.537065,
-15.573778,	 -9.005117,	 -3.724186,	 0.750575,	 -1.179866,	 -0.527389,
-15.249878,	 -9.495530,	 -3.943563,	 0.791724,	 -1.155170,	 -0.517153,
-14.908912,	 -9.975314,	 -4.158528,	 0.831845,	 -1.129269,	 -0.506376,
