-4.453496,	 -8.346210,	 -3.255647,	 1.709077,	 -0.819525,	 -0.412041,
-4.195203,	 -8.465432,	 -3.316004,	 1.734621,	 -0.769875,	 -0.392634,
-3.933196,	 -8.577164,	 -3.373427,	 1.758570,	 -0.719667,	 -0.372926,
-3.667718,	 -8.681323,	 -3.427873,	 1.780913,	 -0.668939,	 -0.352935,
-3.399009,	 -8.777834,	 -3.479300,	 1.801642,	 -0.617733,	 -0.332677,
-3.127312,	 -8.866632,	 -3.527670,	 1.820746,	 -0.566088,	 -0.312168,
-2.852872,	 -8.947655,	 -3.572946,	 1.838218,	 -0.514046,	 -0.291425,
-2.575933,	 -9.020844,	 -3.615092,	 1.854052,	 -0.461646,	 -0.270463,
-2.296743,	 -9.086148,	 -3.654080,	 1.868240,	 -0.408929,	 -0.249299,
-2.015548,	 -9.143526,	 -3.689878,	 1.880778,	 -0.355933,	 -0.227950,
-1.732596,	 -9.192934,	 -3.722463,	 1.891662,	 -0.302699,	 -0.206431,
-1.448136,	 -9.234344,	 -3.751807,	 1.900887,	 -0.249267,	 -0.184758,
-1.162416,	 -9.267724,	 -3.777889,	 1.908450,	 -0.195676,	 -0.162948,
-0.875686,	 -9.293056,	 -3.800692,	 1.914350,	 -0.141964,	 -0.141017,
-0.588196,	 -9.310324,	 -3.820195,	 1.918584,	 -0.088173,	 -0.118982,
-0.300195,	 -9.319520,	 -3.836387,	 1.921153,	 -0.034339,	 -0.096857,
-0.011933,	 -9.320642,	 -3.849255,	 1.922056,	 0.019496,	 -0.074660,
0.276339,	 -9.313688,	 -3.858789,	 1.921295,	 0.073295,	 -0.052406,
0.564372,	 -9.298672,	 -3.864981,	 1.918870,	 0.127019,	 -0.030112,
0.851918,	 -9.275605,	 -3.867828,	 1.914784,	 0.180628,	 -0.007794,
1.138726,	 -9.244509,	 -3.867326,	 1.909040,	 0.234083,	 0.014533,
1.424549,	 -9.205406,	 -3.863476,	 1.901641,	 0.287348,	 0.036851,
1.709139,	 -9.158327,	 -3.856279,	 1.892593,	 0.340381,	 0.059145,
1.992247,	 -9.103318,	 -3.845741,	 1.881900,	 0.393146,	 0.081399,
