11.779486,	 37.169006,	 14.919113,	 -0.944440,	 0.305906,	 0.148734,
7.843210,	 38.293274,	 15.477332,	 -0.967124,	 0.222346,	 0.115100,
3.828449,	 39.071949,	 15.896065,	 -0.980700,	 0.138424,	 0.081091,
-0.227577,	 39.505039,	 16.174385,	 -0.985404,	 0.055035,	 0.047078,
-4.288806,	 39.596127,	 16.312860,	 -0.981579,	 -0.026997,	 0.013409,
-8.320738,	 39.352074,	 16.313437,	 -0.969654,	 -0.106926,	 -0.019602,
-12.290761,	 38.782665,	 16.179308,	 -0.950127,	 -0.184094,	 -0.051672,
-16.168417,	 37.900265,	 15.914778,	 -0.923551,	 -0.257928,	 -0.082553,
-19.925583,	 36.719456,	 15.525108,	 -0.890511,	 -0.327946,	 -0.112034,
-23.536592,	 35.256660,	 15.016386,	 -0.851614,	 -0.393747,	 -0.139934,
-26.978296,	 33.529823,	 14.395379,	 -0.807475,	 -0.455013,	 -0.166109,
-30.230091,	 31.558086,	 13.669406,	 -0.758707,	 -0.511497,	 -0.190442,
-33.273876,	 29.361483,	 12.846217,	 -0.705911,	 -0.563023,	 -0.212846,
-36.094002,	 26.960680,	 11.933882,	 -0.649667,	 -0.609473,	 -0.233259,
-38.677174,	 24.376741,	 10.940686,	 -0.590534,	 -0.650782,	 -0.251639,
-41.012360,	 21.630915,	 9.875053,	 -0.529041,	 -0.686933,	 -0.267968,
-43.090656,	 18.744453,	 8.745461,	 -0.465688,	 -0.717947,	 -0.282240,
-44.905174,	 15.738469,	 7.560378,	 -0.400943,	 -0.743879,	 -0.294466,
-46.450909,	 12.633799,	 6.328206,	 -0.335244,	 -0.764810,	 -0.304670,
-47.724594,	 9.450902,	 5.057239,	 -0.268995,	 -0.780846,	 -0.312884,
-48.724598,	 6.209774,	 3.755620,	 -0.202571,	 -0.792109,	 -0.319149,
-49.450779,	 2.929880,	 2.431312,	 -0.136319,	 -0.798737,	 -0.323512,
-49.904373,	 -0.369899,	 1.092073,	 -0.070557,	 -0.800878,	 -0.326027,
-50.087894,	 -3.671306,	 -0.254561,	 -0.005577,	 -0.798686,	 -0.326749,
-50.005032,	 -6.956739,	 -1.601296,	 0.058350,	 -0.792325,	 -0.325738,
-49.660534,	 -10.209270,	 -2.941083,	 0.120977,	 -0.781960,	 -0.323057,
