1.017501,	 -0.854498,	 -0.419430,	 3.698565,	 3.820690,	 1.652507,
1.036754,	 -0.834303,	 -0.410687,	 3.619965,	 3.885583,	 1.684395,
1.055592,	 -0.813769,	 -0.401778,	 3.539793,	 3.949002,	 1.715651,
1.074005,	 -0.792907,	 -0.392706,	 3.458087,	 4.010913,	 1.746255,
1.091985,	 -0.771722,	 -0.383475,	 3.374885,	 4.071278,	 1.776191,
1.109526,	 -0.750223,	 -0.374089,	 3.290227,	 4.130062,	 1.805442,
1.126620,	 -0.728420,	 -0.364550,	 3.204155,	 4.187232,	 1.833990,
1.143259,	 -0.706320,	 -0.354863,	 3.116711,	 4.242755,	 1.861819,
1.159436,	 -0.683931,	 -0.345031,	 3.027940,	 4.296599,	 1.888915,
1.175144,	 -0.661264,	 -0.335058,	 2.937885,	 4.348734,	 1.915261,
1.190376,	 -0.638327,	 -0.324949,	 2.846593,	 4.399131,	 1.940844,
1.205127,	 -0.615128,	 -0.314707,	 2.754110,	 4.447761,	 1.965649,
1.219390,	 -0.591679,	 -0.304337,	 2.660486,	 4.494599,	 1.989662,
1.233159,	 -0.567987,	 -0.293842,	 2.565768,	 4.539619,	 2.012871,
1.246429,	 -0.544062,	 -0.283227,	 2.470008,	 4.582797,	 2.035263,
1.259194,	 -0.519915,	 -0.272496,	 2.373254,	 4.624111,	 2.056827,
1.271448,	 -0.495555,	 -0.261654,	 2.275559,	 4.663539,	 2.077551,
1.283188,	 -0.470992,	 -0.250705,	 2.176975,	 4.701063,	 2.097426,
1.294409,	 -0.446235,	 -0.239653,	 2.077554,	 4.736663,	 2.116442,
1.305106,	 -0.421296,	 -0.228503,	 1.977349,	 4.770324,	 2.134589,
1.315275,	 -0.396185,	 -0.217260,	 1.876415,	 4.802031,	 2.151859,
1.324913,	 -0.370911,	 -0.205928,	 1.774806,	 4.831770,	 2.168245,
1.334017,	 -0.345485,	 -0.194512,	 1.672576,	 4.859528,	 2.183740,
1.342582,	 -0.319917,	 -0.183016,	 1.569780,	 4.885296,	 2.198337,
1.350607,	 -0.294219,	 -0.171446,	 1.466472,	 4.909065,	 2.212030,
1.358088,	 -0.268400,	 -0.159805,	 1.362710,	 4.930828,	 2.224816,
1.365024,	 -0.242471,	 -0.148100,	 1.258547,	 4.950578,	 2.236690,
1.371412,	 -0.216442,	 -0.136334,	 1.154039,	 4.968312,	 2.247648,
