-0.254192,	 -0.918306,	 -0.398122,	 5.940340,	 -1.509826,	 -0.654571,
-0.224401,	 -0.925525,	 -0.401252,	 5.983733,	 -1.344838,	 -0.583042,
-0.194404,	 -0.931918,	 -0.404023,	 6.021693,	 -1.178978,	 -0.511135,
-0.164229,	 -0.937480,	 -0.406435,	 6.054209,	 -1.012394,	 -0.438914,
-0.133901,	 -0.942208,	 -0.408484,	 6.081276,	 -0.845236,	 -0.366445,
-0.103450,	 -0.946099,	 -0.410171,	 6.102891,	 -0.677650,	 -0.293789,
-0.072901,	 -0.949152,	 -0.411495,	 6.119058,	 -0.509783,	 -0.221013,
-0.042282,	 -0.951365,	 -0.412454,	 6.129784,	 -0.341782,	 -0.148178,
-0.011620,	 -0.952737,	 -0.413049,	 6.135082,	 -0.173792,	 -0.075347,
0.019057,	 -0.953271,	 -0.413281,	 6.134969,	 -0.005957,	 -0.002584,
0.049723,	 -0.952965,	 -0.413148,	 6.129464,	 0.161581,	 0.070050,
0.080351,	 -0.951823,	 -0.412653,	 6.118593,	 0.328678,	 0.142493,
0.110914,	 -0.949846,	 -0.411796,	 6.102384,	 0.495195,	 0.214685,
0.141385,	 -0.947038,	 -0.410579,	 6.080872,	 0.660993,	 0.286565,
0.171738,	 -0.943403,	 -0.409003,	 6.054093,	 0.825934,	 0.358073,
0.201946,	 -0.938945,	 -0.407070,	 6.022088,	 0.989881,	 0.429151,
0.231984,	 -0.933670,	 -0.404783,	 5.984903,	 1.152701,	 0.499740,
0.261826,	 -0.927583,	 -0.402144,	 5.942586,	 1.314260,	 0.569782,
0.291446,	 -0.920690,	 -0.399156,	 5.895190,	 1.474427,	 0.639221,
0.320819,	 -0.913000,	 -0.395822,	 5.842771,	 1.633074,	 0.708001,
0.349921,	 -0.904520,	 -0.392145,	 5.785390,	 1.790072,	 0.776066,
0.378725,	 -0.895259,	 -0.388130,	 5.723108,	 1.945298,	 0.843362,
0.407208,	 -0.885225,	 -0.383780,	 5.655993,	 2.098627,	 0.909836,
0.435346,	 -0.874428,	 -0.379099,	 5.584115,	 2.249938,	 0.975436,
0.463116,	 -0.862879,	 -0.374092,	 5.507548,	 2.399113,	 1.040109,
0.490493,	 -0.850589,	 -0.368764,	 5.426367,	 2.546035,	 1.103805,
0.517455,	 -0.837569,	 -0.363119,	 5.340653,	 2.690589,	 1.166475,
0.543980,	 -0.823831,	 -0.357163,	 5.250488,	 2.832663,	 1.228070,
0.570045,	 -0.809387,	 -0.350902,	 5.155958,	 2.972147,	 1.288542,
0.595629,	 -0.794252,	 -0.344340,	 5.057152,	 3.108935,	 1.347845,
