-3.308677,	 -3.956227,	 -1.615208,	 2.145626,	 -1.415494,	 -0.658962,
-3.260233,	 -3.987875,	 -1.629953,	 2.164143,	 -1.393152,	 -0.649836,
-3.211375,	 -4.019018,	 -1.644492,	 2.182404,	 -1.370610,	 -0.640618,
-3.162108,	 -4.049653,	 -1.658822,	 2.200407,	 -1.347871,	 -0.631310,
-3.112439,	 -4.079773,	 -1.672942,	 2.218149,	 -1.324938,	 -0.621912,
-3.062373,	 -4.109377,	 -1.686850,	 2.235627,	 -1.301812,	 -0.612425,
-3.011916,	 -4.138459,	 -1.700543,	 2.252840,	 -1.278496,	 -0.602850,
-2.961074,	 -4.167014,	 -1.714020,	 2.269783,	 -1.254992,	 -0.593188,
-2.909853,	 -4.195038,	 -1.727280,	 2.286456,	 -1.231302,	 -0.583440,
-2.858260,	 -4.222528,	 -1.740319,	 2.302855,	 -1.207429,	 -0.573606,
-2.806300,	 -4.249479,	 -1.753136,	 2.318978,	 -1.183374,	 -0.563688,
-2.753981,	 -4.275887,	 -1.765729,	 2.334822,	 -1.159142,	 -0.553687,
-2.701307,	 -4.301748,	 -1.778096,	 2.350385,	 -1.134733,	 -0.543604,
-2.648285,	 -4.327059,	 -1.790236,	 2.365665,	 -1.110150,	 -0.533439,
-2.594923,	 -4.351815,	 -1.802146,	 2.380659,	 -1.085396,	 -0.523193,
-2.541225,	 -4.376012,	 -1.813825,	 2.395364,	 -1.060473,	 -0.512869,
-2.487199,	 -4.399647,	 -1.825271,	 2.409779,	 -1.035384,	 -0.502466,
-2.432851,	 -4.422717,	 -1.836483,	 2.423900,	 -1.010131,	 -0.491985,
-2.378188,	 -4.445216,	 -1.847457,	 2.437726,	 -0.984718,	 -0.481429,
-2.323217,	 -4.467143,	 -1.858194,	 2.451254,	 -0.959146,	 -0.470797,
-2.267945,	 -4.488492,	 -1.868690,	 2.464481,	 -0.933418,	 -0.460092,
-2.212377,	 -4.509262,	 -1.878946,	 2.477406,	 -0.907537,	 -0.449313,
-2.156521,	 -4.529447,	 -1.888958,	 2.490026,	 -0.881505,	 -0.438462,
-2.100384,	 -4.549046,	 -1.898725,	 2.502339,	 -0.855326,	 -0.427541,
-2.043973,	 -4.568054,	 -1.908246,	 2.514343,	 -0.829002,	 -0.416550,
-1.987294,	 -4.586469,	 -1.917518,	 2.526035,	 -0.802536,	 -0.405490,
-1.930356,	 -4.604287,	 -1.926542,	 2.537413,	 -0.775931,	 -0.394363,
-1.873164,	 -4.621505,	 -1.935315,	 2.548475,	 -0.749189,	 -0.383170,
-1.815726,	 -4.638120,	 -1.943835,	 2.559219,	 -0.722314,	 -0.371913,
-1.758049,	 -4.654130,	 -1.952101,	 2.569642,	 -0.695308,	 -0.360591,
-1.700140,	 -4.669530,	 -1.960112,	 2.579743,	 -0.668175,	 -0.349207,
-1.642008,	 -4.684319,	 -1.967866,	 2.589519,	 -0.640917,	 -0.337761,
-1.583658,	 -4.698493,	 -1.975363,	 2.598969,	 -0.613538,	 -0.326256,
-1.525098,	 -4.712050,	 -1.982599,	 2.608090,	 -0.586040,	 -0.314691,
-1.466337,	 -4.724988,	 -1.989575,	 2.616879,	 -0.558427,	 -0.303069,
-1.407380,	 -4.737303,	 -1.996289,	 2.625337,	 -0.530701,	 -0.291391,
-1.348237,	 -4.748993,	 -2.002740,	 2.633459,	 -0.502866,	 -0.279658,
-1.288913,	 -4.760057,	 -2.008926,	 2.641244,	 -0.474925,	 -0.267871,
-1.229417,	 -4.770490,	 -2.014847,	 2.648691,	 -0.446881,	 -0.256032,
-1.169757,	 -4.780292,	 -2.020501,	 2.655797,	 -0.418738,	 -0.244142,
-1.109940,	 -4.789459,	 -2.025887,	 2.662561,	 -0.390498,	 -0.232202,
-1.049974,	 -4.797990,	 -2.031003,	 2.668981,	 -0.362166,	 -0.220214,
-0.989867,	 -4.805883,	 -2.035850,	 2.675054,	 -0.333743,	 -0.208179,
-0.929626,	 -4.813136,	 -2.040425,	 2.680779,	 -0.305235,	 -0.196099,
-0.869259,	 -4.819747,	 -2.044729,	 2.686155,	 -0.276643,	 -0.183975,
-0.808775,	 -4.825714,	 -2.048759,	 2.691180,	 -0.247972,	 -0.171808,
-0.748181,	 -4.831035,	 -2.052515,	 2.695851,	 -0.219225,	 -0.159600,
-0.687484,	 -4.835708,	 -2.055995,	 2.700168,	 -0.190406,	 -0.147352,
-0.626694,	 -4.839732,	 -2.059200,	 2.704128,	 -0.161517,	 -0.135066,
-0.565818,	 -4.843106,	 -2.062128,	 2.707731,	 -0.132563,	 -0.122743,
-0.504865,	 -4.845828,	 -2.064779,	 2.710974,	 -0.103547,	 -0.110385,
-0.443841,	 -4.847896,	 -2.067151,	 2.713856,	 -0.074473,	 -0.097993,
-0.382756,	 -4.849310,	 -2.069244,	 2.716376,	 -0.045344,	 -0.085568,
-0.321617,	 -4.850068,	 -2.071057,	 2.718532,	 -0.016164,	 -0.073113,
-0.260434,	 -4.850169,	 -2.072590,	 2.720322,	 0.013064,	 -0.060629,
-0.199213,	 -4.849612,	 -2.073842,	 2.721746,	 0.042334,	 -0.048118,
-0.137964,	 -4.848395,	 -2.074812,	 2.722802,	 0.071645,	 -0.035580,
-0.076694,	 -4.846519,	 -2.075499,	 2.723489,	 0.100991,	 -0.023018,
-0.015412,	 -4.843983,	 -2.075904,	 2.723805,	 0.130370,	 -0.010433,
0.045874,	 -4.840785,	 -2.076025,	 2.723750,	 0.159777,	 0.002173,
0.107155,	 -4.836926,	 -2.075862,	 2.723322,	 0.189209,	 0.014799,
0.168424,	 -4.832403,	 -2.075416,	 2.722520,	 0.218661,	 0.027443,
0.229670,	 -4.827218,	 -2.074684,	 2.721343,	 0.248130,	 0.040102,
0.290887,	 -4.821370,	 -2.073668,	 2.719790,	 0.277611,	 0.052777,
0.352066,	 -4.814857,	 -2.072366,	 2.717860,	 0.307102,	 0.065464,
0.413198,	 -4.807682,	 -2.070779,	 2.715552,	 0.336597,	 0.078163,
0.474274,	 -4.799843,	 -2.068906,	 2.712865,	 0.366092,	 0.090871,
0.535287,	 -4.791340,	 -2.066747,	 2.709799,	 0.395584,	 0.103587,
0.596227,	 -4.782174,	 -2.064302,	 2.706352,	 0.425069,	 0.116309,
0.657086,	 -4.772345,	 -2.061571,	 2.702524,	 0.454542,	 0.129035,
0.717856,	 -4.761852,	 -2.058553,	 2.698315,	 0.483999,	 0.141764,
0.778527,	 -4.750697,	 -2.055249,	 2.693723,	 0.513436,	 0.154493,
0.839092,	 -4.738881,	 -2.051658,	 2.688748,	 0.542849,	 0.167222,
0.899541,	 -4.726402,	 -2.047781,	 2.683389,	 0.572234,	 0.179947,
0.959866,	 -4.713263,	 -2.043619,	 2.677646,	 0.601586,	 0.192668,
1.020059,	 -4.699463,	 -2.039169,	 2.671519,	 0.630901,	 0.205383,
1.080110,	 -4.685004,	 -2.034434,	 2.665007,	 0.660175,	 0.218089,
1.140011,	 -4.669887,	 -2.029413,	 2.658110,	 0.689404,	 0.230786,
1.199754,	 -4.654113,	 -2.024106,	 2.650828,	 0.718583,	 0.243470,
1.259329,	 -4.637684,	 -2.018514,	 2.643160,	 0.747708,	 0.256140,
1.318728,	 -4.620599,	 -2.012637,	 2.635106,	 0.776774,	 0.268795,
1.377943,	 -4.602860,	 -2.006476,	 2.626667,	 0.805777,	 0.281432,
1.436964,	 -4.584469,	 -2.000030,	 2.617842,	 0.834713,	 0.294050,
1.495783,	 -4.565429,	 -1.993300,	 2.608631,	 0.863578,	 0.306646,
1.554392,	 -4.545739,	 -1.986288,	 2.599035,	 0.892366,	 0.319219,
1.612781,	 -4.525402,	 -1.978992,	 2.589053,	 0.921073,	 0.331767,
