0.266100,	 0.342948,	 0.155598,	 -8.680210,	 4.970476,	 3.555205,
0.198709,	 0.377057,	 0.180806,	 -9.401643,	 3.895128,	 3.055599,
0.126553,	 0.402864,	 0.202074,	 -9.904014,	 2.750839,	 2.496450,
0.051314,	 0.420006,	 0.219033,	 -10.178380,	 1.589482,	 1.904540,
-0.025317,	 0.428504,	 0.231519,	 -10.234698,	 0.459135,	 1.306584,
-0.101773,	 0.428715,	 0.239560,	 -10.097631,	 -0.601574,	 0.725772,
-0.176699,	 0.421246,	 0.243340,	 -9.800467,	 -1.566160,	 0.179704,
-0.249003,	 0.406869,	 0.243158,	 -9.379196,	 -2.420126,	 -0.320144,
-0.317857,	 0.386433,	 0.239382,	 -8.868043,	 -3.158954,	 -0.767809,
-0.382682,	 0.360796,	 0.232410,	 -8.296849,	 -3.785367,	 -1.161652,
-0.443103,	 0.330781,	 0.222642,	 -7.690013,	 -4.306671,	 -1.503044,
-0.498913,	 0.297149,	 0.210465,	 -7.066512,	 -4.732603,	 -1.795221,
-0.550032,	 0.260584,	 0.196233,	 -6.440500,	 -5.073797,	 -2.042393,
-0.596474,	 0.221688,	 0.180272,	 -5.822134,	 -5.340787,	 -2.249135,
-0.638318,	 0.180988,	 0.162871,	 -5.218417,	 -5.543439,	 -2.419990,
-0.675690,	 0.138940,	 0.144286,	 -4.633949,	 -5.690665,	 -2.559243,
-0.708744,	 0.095934,	 0.124741,	 -4.071547,	 -5.790335,	 -2.670803,
-0.737650,	 0.052307,	 0.104435,	 -3.532742,	 -5.849283,	 -2.758165,
-0.762587,	 0.008346,	 0.083538,	 -3.018149,	 -5.873386,	 -2.824403,
-0.783737,	 -0.035704,	 0.062201,	 -2.527751,	 -5.867660,	 -2.872198,
-0.801281,	 -0.079631,	 0.040556,	 -2.061107,	 -5.836369,	 -2.903874,
-0.815395,	 -0.123257,	 0.018716,	 -1.617500,	 -5.783126,	 -2.921435,
-0.826249,	 -0.166424,	 -0.003217,	 -1.196047,	 -5.710990,	 -2.926606,
-0.834006,	 -0.209000,	 -0.025156,	 -0.795770,	 -5.622545,	 -2.920870,
-0.838822,	 -0.250870,	 -0.047022,	 -0.415655,	 -5.519979,	 -2.905500,
-0.840846,	 -0.291932,	 -0.068746,	 -0.054684,	 -5.405141,	 -2.881589,
-0.840217,	 -0.332100,	 -0.090268,	 0.288138,	 -5.279596,	 -2.850078,
-0.837069,	 -0.371297,	 -0.111532,	 0.613768,	 -5.144671,	 -2.811773,
-0.831528,	 -0.409457,	 -0.132491,	 0.923115,	 -5.001489,	 -2.767368,
-0.823714,	 -0.446521,	 -0.153100,	 1.217035,	 -4.851001,	 -2.717461,
-0.813740,	 -0.482436,	 -0.173319,	 1.496329,	 -4.694014,	 -2.662566,
-0.801713,	 -0.517156,	 -0.193112,	 1.761737,	 -4.531211,	 -2.603124,
-0.787735,	 -0.550639,	 -0.212447,	 2.013947,	 -4.363171,	 -2.539516,
-0.771904,	 -0.582847,	 -0.231293,	 2.253590,	 -4.190382,	 -2.472068,
-0.754313,	 -0.613746,	 -0.249623,	 2.481243,	 -4.013257,	 -2.401061,
-0.735048,	 -0.643305,	 -0.267410,	 2.697434,	 -3.832142,	 -2.326734,
-0.714195,	 -0.671493,	 -0.284630,	 2.902642,	 -3.647327,	 -2.249291,
-0.691835,	 -0.698285,	 -0.301260,	 3.097299,	 -3.459052,	 -2.168907,
-0.668046,	 -0.723656,	 -0.317279,	 3.281794,	 -3.267517,	 -2.085726,
-0.642903,	 -0.747580,	 -0.332666,	 3.456475,	 -3.072882,	 -1.999872,
-0.616478,	 -0.770035,	 -0.347401,	 3.621647,	 -2.875278,	 -1.911446,
-0.588842,	 -0.791000,	 -0.361466,	 3.777579,	 -2.674804,	 -1.820530,
-0.560064,	 -0.810453,	 -0.374841,	 3.924501,	 -2.471539,	 -1.727187,
-0.530211,	 -0.828373,	 -0.387509,	 4.062610,	 -2.265537,	 -1.631469,
-0.499348,	 -0.844740,	 -0.399453,	 4.192066,	 -2.056834,	 -1.533410,
-0.467540,	 -0.859534,	 -0.410653,	 4.312995,	 -1.845448,	 -1.433035,
-0.434850,	 -0.872734,	 -0.421095,	 4.425488,	 -1.631385,	 -1.330355,
-0.401341,	 -0.884321,	 -0.430759,	 4.529605,	 -1.414635,	 -1.225370,
-0.367077,	 -0.894274,	 -0.439628,	 4.625371,	 -1.195178,	 -1.118074,
-0.332119,	 -0.902573,	 -0.447686,	 4.712776,	 -0.972983,	 -1.008447,
-0.296531,	 -0.909197,	 -0.454915,	 4.791775,	 -0.748011,	 -0.896466,
-0.260376,	 -0.914125,	 -0.461297,	 4.862288,	 -0.520215,	 -0.782097,
-0.223718,	 -0.917337,	 -0.466814,	 4.924198,	 -0.289543,	 -0.665299,
-0.186622,	 -0.918809,	 -0.471447,	 4.977348,	 -0.055938,	 -0.546026,
-0.149154,	 -0.918521,	 -0.475179,	 5.021541,	 0.180660,	 -0.424226,
-0.111382,	 -0.916449,	 -0.477989,	 5.056535,	 0.420312,	 -0.299839,
-0.073375,	 -0.912570,	 -0.479858,	 5.082043,	 0.663080,	 -0.172805,
-0.035207,	 -0.906861,	 -0.480767,	 5.097727,	 0.909022,	 -0.043057,
0.003049,	 -0.899298,	 -0.480694,	 5.103196,	 1.158192,	 0.089475,
0.041314,	 -0.889856,	 -0.479618,	 5.098002,	 1.410635,	 0.224861,
0.079506,	 -0.878511,	 -0.477518,	 5.081632,	 1.666386,	 0.363173,
0.117541,	 -0.865238,	 -0.474373,	 5.053502,	 1.925464,	 0.504481,
0.155329,	 -0.850012,	 -0.470158,	 5.012957,	 2.187866,	 0.648853,
0.192773,	 -0.832807,	 -0.464851,	 4.959254,	 2.453564,	 0.796350,
0.229773,	 -0.813601,	 -0.458428,	 4.891563,	 2.722495,	 0.947024,
0.266221,	 -0.792368,	 -0.450866,	 4.808950,	 2.994552,	 1.100915,
0.302002,	 -0.769085,	 -0.442139,	 4.710373,	 3.269574,	 1.258046,
0.336994,	 -0.743732,	 -0.432225,	 4.594668,	 3.547330,	 1.418413,
0.371063,	 -0.716288,	 -0.421098,	 4.460540,	 3.827505,	 1.581983,
0.404067,	 -0.686736,	 -0.408735,	 4.306550,	 4.109676,	 1.748679,
0.435853,	 -0.655063,	 -0.395112,	 4.131102,	 4.393290,	 1.918371,
0.466255,	 -0.621261,	 -0.380209,	 3.932435,	 4.677630,	 2.090858,
0.495093,	 -0.585326,	 -0.364004,	 3.708611,	 4.961778,	 2.265851,
0.522171,	 -0.547263,	 -0.346480,	 3.457512,	 5.244569,	 2.442948,
0.547279,	 -0.507086,	 -0.327622,	 3.176835,	 5.524536,	 2.621604,
0.570187,	 -0.464823,	 -0.307422,	 2.864107,	 5.799843,	 2.801094,
0.590647,	 -0.420514,	 -0.285875,	 2.516698,	 6.068207,	 2.980472,
0.608391,	 -0.374220,	 -0.262986,	 2.131867,	 6.326804,	 3.158512,
0.623130,	 -0.326024,	 -0.238770,	 1.706829,	 6.572166,	 3.333654,
0.634554,	 -0.276037,	 -0.213253,	 1.238860,	 6.800071,	 3.503921,
0.642333,	 -0.224405,	 -0.186479,	 0.725456,	 7.005416,	 3.666849,
0.646120,	 -0.171315,	 -0.158513,	 0.164555,	 7.182112,	 3.819400,
0.645555,	 -0.117003,	 -0.129442,	 -0.445150,	 7.322993,	 3.957880,
0.640269,	 -0.061761,	 -0.099386,	 -1.103806,	 7.419785,	 4.077885,
0.629900,	 -0.005947,	 -0.068497,	 -1.809889,	 7.463167,	 4.174278,
0.614101,	 0.050007,	 -0.036969,	 -2.559594,	 7.442985,	 4.241241,
0.592564,	 0.105594,	 -0.005043,	 -3.346182,	 7.348683,	 4.272436,
0.565040,	 0.160227,	 0.026994,	 -4.159357,	 7.170001,	 4.261314,
0.531371,	 0.213244,	 0.058806,	 -4.984828,	 6.897984,	 4.201611,
0.491517,	 0.263925,	 0.090011,	 -5.804254,	 6.526262,	 4.088022,
0.445586,	 0.311512,	 0.120193,	 -6.595773,	 6.052456,	 3.917009,
0.393861,	 0.355244,	 0.148917,	 -7.335279,	 5.479471,	 3.687624,
0.336804,	 0.394400,	 0.175750,	 -7.998429,	 4.816307,	 3.402150,
0.275057,	 0.428347,	 0.200287,	 -8.563144,	 4.078064,	 3.066364,
0.209413,	 0.456580,	 0.222175,	 -9.012117,	 3.284957,	 2.689268,
0.140776,	 0.478755,	 0.241138,	 -9.334748,	 2.460420,	 2.282282,
0.070109,	 0.494710,	 0.256989,	 -9.528051,	 1.628706,	 1.858051,
-0.001629,	 0.504461,	 0.269637,	 -9.596355,	 0.812482,	 1.429133,
-0.073527,	 0.508184,	 0.279081,	 -9.549988,	 0.030957,	 1.006857,
-0.144768,	 0.506187,	 0.285402,	 -9.403372,	 -0.701220,	 0.600547,
-0.214647,	 0.498871,	 0.288740,	 -9.173020,	 -1.374224,	 0.217162,
-0.282588,	 0.486700,	 0.289284,	 -8.875787,	 -1.982692,	 -0.138686,
-0.348138,	 0.470163,	 0.287248,	 -8.527591,	 -2.524964,	 -0.464459,
-0.410958,	 0.449756,	 0.282862,	 -8.142625,	 -3.002184,	 -0.759296,
-0.470811,	 0.425958,	 0.276356,	 -7.732989,	 -3.417432,	 -1.023587,
-0.527541,	 0.399221,	 0.267957,	 -7.308635,	 -3.774980,	 -1.258583,
-0.581065,	 0.369964,	 0.257879,	 -6.877500,	 -4.079712,	 -1.466069,
-0.631350,	 0.338568,	 0.246323,	 -6.445744,	 -4.336709,	 -1.648122,
-0.678406,	 0.305376,	 0.233472,	 -6.018022,	 -4.550966,	 -1.806926,
-0.722275,	 0.270694,	 0.219495,	 -5.597758,	 -4.727213,	 -1.944652,
-0.763021,	 0.234793,	 0.204543,	 -5.187390,	 -4.869821,	 -2.063383,
-0.800722,	 0.197914,	 0.188753,	 -4.788581,	 -4.982756,	 -2.165066,
-0.835470,	 0.160268,	 0.172247,	 -4.402397,	 -5.069575,	 -2.251489,
-0.867361,	 0.122041,	 0.155135,	 -4.029448,	 -5.133432,	 -2.324274,
-0.896496,	 0.083398,	 0.137514,	 -3.670006,	 -5.177115,	 -2.384881,
-0.922975,	 0.044482,	 0.119472,	 -3.324091,	 -5.203068,	 -2.434616,
-0.946900,	 0.005419,	 0.101087,	 -2.991543,	 -5.213434,	 -2.474638,
-0.968370,	 -0.033679,	 0.082428,	 -2.672071,	 -5.210082,	 -2.505976,
-0.987483,	 -0.072715,	 0.063558,	 -2.365300,	 -5.194647,	 -2.529543,
-1.004332,	 -0.111603,	 0.044533,	 -2.070796,	 -5.168552,	 -2.546143,
-1.019008,	 -0.150266,	 0.025402,	 -1.788089,	 -5.133037,	 -2.556489,
-1.031598,	 -0.188637,	 0.006211,	 -1.516696,	 -5.089187,	 -2.561209,
-1.042185,	 -0.226656,	 -0.012999,	 -1.256125,	 -5.037946,	 -2.560858,
-1.050849,	 -0.264271,	 -0.032194,	 -1.005893,	 -4.980138,	 -2.555928,
-1.057667,	 -0.301434,	 -0.051338,	 -0.765522,	 -4.916484,	 -2.546852,
-1.062710,	 -0.338104,	 -0.070403,	 -0.534554,	 -4.847614,	 -2.534015,
-1.066048,	 -0.374243,	 -0.089362,	 -0.312546,	 -4.774079,	 -2.517756,
-1.067747,	 -0.409818,	 -0.108188,	 -0.099076,	 -4.696362,	 -2.498379,
-1.067869,	 -0.444799,	 -0.126861,	 0.106257,	 -4.614886,	 -2.476150,
