-4.109299,	 -29.569330,	 -7.990734,	 1.157005,	 -0.213176,	 -0.415426,
41.322189,	 25.627001,	 -4.461012,	 -0.295050,	 0.666273,	 0.296942,
40.944050,	 26.449734,	 -4.090182,	 -0.312371,	 0.655309,	 0.298742,
40.544514,	 27.258627,	 -3.717215,	 -0.329439,	 0.644060,	 0.300378,
40.123886,	 28.053347,	 -3.342314,	 -0.346255,	 0.632531,	 0.301849,
39.682487,	 28.833542,	 -2.965680,	 -0.362817,	 0.620726,	 0.303159,
39.220634,	 29.598873,	 -2.587518,	 -0.379126,	 0.608648,	 0.304307,
38.738602,	 30.348997,	 -2.208026,	 -0.395182,	 0.596303,	 0.305295,
38.236763,	 31.083582,	 -1.827403,	 -0.410984,	 0.583692,	 0.306123,
37.715412,	 31.802305,	 -1.445847,	 -0.426530,	 0.570821,	 0.306793,
37.174850,	 32.504845,	 -1.063554,	 -0.441822,	 0.557691,	 0.307306,
36.615410,	 33.190895,	 -0.680722,	 -0.456857,	 0.544306,	 0.307662,
36.037422,	 33.860119,	 -0.297543,	 -0.471634,	 0.530668,	 0.307861,
35.441196,	 34.512192,	 0.085786,	 -0.486153,	 0.516780,	 0.307904,
34.827053,	 35.146816,	 0.469073,	 -0.500413,	 0.502645,	 0.307791,
34.195305,	 35.763710,	 0.852123,	 -0.514412,	 0.488264,	 0.307524,
33.546310,	 36.362534,	 1.234743,	 -0.528148,	 0.473639,	 0.307101,
32.880386,	 36.943024,	 1.616740,	 -0.541619,	 0.458773,	 0.306523,
32.197815,	 37.504826,	 1.997921,	 -0.554825,	 0.443667,	 0.305789,
31.499014,	 38.047684,	 2.378092,	 -0.567762,	 0.428322,	 0.304901,
30.784250,	 38.571281,	 2.757061,	 -0.580429,	 0.412740,	 0.303856,
30.053885,	 39.075325,	 3.134633,	 -0.592823,	 0.396923,	 0.302656,
29.308264,	 39.559559,	 3.510614,	 -0.604941,	 0.380870,	 0.301300,
28.547726,	 40.023640,	 3.884808,	 -0.616781,	 0.364584,	 0.299786,
27.772623,	 40.467308,	 4.257021,	 -0.628340,	 0.348066,	 0.298116,
26.983301,	 40.890274,	 4.627055,	 -0.639614,	 0.331315,	 0.296287,
26.180130,	 41.292225,	 4.994713,	 -0.650599,	 0.314334,	 0.294299,
25.363457,	 41.672905,	 5.359798,	 -0.661293,	 0.297122,	 0.292151,
24.533655,	 42.032017,	 5.722108,	 -0.671690,	 0.279681,	 0.289842,
23.691095,	 42.369255,	 6.081442,	 -0.681787,	 0.262010,	 0.287370,
22.836159,	 42.684372,	 6.437597,	 -0.691578,	 0.244111,	 0.284736,
21.969223,	 42.977062,	 6.790371,	 -0.701060,	 0.225984,	 0.281937,
21.090675,	 43.247032,	 7.139556,	 -0.710226,	 0.207629,	 0.278971,
20.200914,	 43.494003,	 7.484948,	 -0.719072,	 0.189047,	 0.275839,
19.300339,	 43.717690,	 7.826333,	 -0.727592,	 0.170238,	 0.272536,
18.389372,	 43.917835,	 8.163505,	 -0.735779,	 0.151203,	 0.269063,
17.468409,	 44.094131,	 8.496235,	 -0.743626,	 0.131941,	 0.265417,
16.537901,	 44.246330,	 8.824327,	 -0.751128,	 0.112455,	 0.261597,
15.598260,	 44.374119,	 9.147554,	 -0.758276,	 0.092743,	 0.257599,
14.649955,	 44.477226,	 9.465688,	 -0.765063,	 0.072808,	 0.253423,
13.693423,	 44.555367,	 9.778511,	 -0.771480,	 0.052648,	 0.249066,
12.729136,	 44.608265,	 10.085799,	 -0.777520,	 0.032266,	 0.244525,
11.757570,	 44.635670,	 10.387313,	 -0.783174,	 0.011662,	 0.239798,
10.779214,	 44.637268,	 10.682828,	 -0.788431,	 -0.009163,	 0.234883,
9.794559,	 44.612816,	 10.972106,	 -0.793282,	 -0.030208,	 0.229777,
8.804123,	 44.562012,	 11.254907,	 -0.797717,	 -0.051471,	 0.224477,
7.808432,	 44.484608,	 11.530989,	 -0.801724,	 -0.072950,	 0.218981,
6.808020,	 44.380322,	 11.800101,	 -0.805293,	 -0.094645,	 0.213285,
5.803448,	 44.248898,	 12.062003,	 -0.808410,	 -0.116552,	 0.207387,
4.795279,	 44.090080,	 12.316430,	 -0.811064,	 -0.138670,	 0.201283,
3.784103,	 43.903568,	 12.563125,	 -0.813240,	 -0.160996,	 0.194971,
2.770520,	 43.689163,	 12.801832,	 -0.814926,	 -0.183526,	 0.188446,
1.755150,	 43.446579,	 13.032286,	 -0.816107,	 -0.206257,	 0.181707,
0.738632,	 43.175568,	 13.254210,	 -0.816767,	 -0.229186,	 0.174749,
-0.278376,	 42.875881,	 13.467337,	 -0.816890,	 -0.252307,	 0.167569,
-1.295195,	 42.547287,	 13.671382,	 -0.816461,	 -0.275615,	 0.160164,
-2.311128,	 42.189571,	 13.866067,	 -0.815461,	 -0.299106,	 0.152530,
-3.325451,	 41.802502,	 14.051104,	 -0.813872,	 -0.322772,	 0.144664,
-4.337423,	 41.385857,	 14.226203,	 -0.811676,	 -0.346607,	 0.136562,
-5.346272,	 40.939445,	 14.391064,	 -0.808854,	 -0.370603,	 0.128221,
-6.351207,	 40.463066,	 14.545393,	 -0.805383,	 -0.394750,	 0.119637,
-7.351407,	 39.956532,	 14.688881,	 -0.801244,	 -0.419040,	 0.110807,
-8.346032,	 39.419662,	 14.821220,	 -0.796414,	 -0.443462,	 0.101727,
-9.334195,	 38.852322,	 14.942100,	 -0.790870,	 -0.468003,	 0.092395,
-10.315005,	 38.254353,	 15.051203,	 -0.784589,	 -0.492650,	 0.082808,
-11.287521,	 37.625629,	 15.148210,	 -0.777545,	 -0.517390,	 0.072961,
-12.250782,	 36.966064,	 15.232788,	 -0.769714,	 -0.542206,	 0.062854,
-13.203787,	 36.275566,	 15.304626,	 -0.761068,	 -0.567080,	 0.052483,
-14.145514,	 35.554085,	 15.363387,	 -0.751582,	 -0.591994,	 0.041845,
-15.074891,	 34.801559,	 15.408738,	 -0.741226,	 -0.616926,	 0.030940,
-15.990820,	 34.017994,	 15.440343,	 -0.729973,	 -0.641853,	 0.019766,
-16.892170,	 33.203423,	 15.457870,	 -0.717793,	 -0.666750,	 0.008322,
-17.777765,	 32.357887,	 15.460982,	 -0.704657,	 -0.691590,	 -0.003393,
-18.646397,	 31.481461,	 15.449343,	 -0.690533,	 -0.716342,	 -0.015378,
-19.496805,	 30.574299,	 15.422613,	 -0.675392,	 -0.740974,	 -0.027632,
-20.327724,	 29.636560,	 15.380461,	 -0.659202,	 -0.765450,	 -0.040154,
-21.137812,	 28.668468,	 15.322550,	 -0.641932,	 -0.789732,	 -0.052941,
-21.925718,	 27.670298,	 15.248560,	 -0.623550,	 -0.813778,	 -0.065989,
-22.690033,	 26.642353,	 15.158164,	 -0.604027,	 -0.837543,	 -0.079295,
-23.429310,	 25.585011,	 15.051044,	 -0.583330,	 -0.860978,	 -0.092851,
-24.142078,	 24.498724,	 14.926892,	 -0.561431,	 -0.884032,	 -0.106650,
-24.826820,	 23.384003,	 14.785416,	 -0.538300,	 -0.906648,	 -0.120684,
-25.481981,	 22.241430,	 14.626326,	 -0.513911,	 -0.928765,	 -0.134942,
-26.105982,	 21.071661,	 14.449354,	 -0.488237,	 -0.950319,	 -0.149412,
-26.697206,	 19.875444,	 14.254249,	 -0.461255,	 -0.971240,	 -0.164079,
-27.254017,	 18.653612,	 14.040764,	 -0.432943,	 -0.991457,	 -0.178926,
-27.774754,	 17.407089,	 13.808693,	 -0.403285,	 -1.010890,	 -0.193935,
-28.257713,	 16.136896,	 13.557843,	 -0.372267,	 -1.029457,	 -0.209084,
-28.701208,	 14.844179,	 13.288062,	 -0.339878,	 -1.047072,	 -0.224349,
-29.103527,	 13.530167,	 12.999218,	 -0.306115,	 -1.063643,	 -0.239702,
-29.462955,	 12.196221,	 12.691218,	 -0.270978,	 -1.079075,	 -0.255115,
-29.777784,	 10.843824,	 12.364012,	 -0.234476,	 -1.093269,	 -0.270552,
-30.046337,	 9.474572,	 12.017588,	 -0.196625,	 -1.106123,	 -0.285978,
-30.266928,	 8.090209,	 11.651987,	 -0.157446,	 -1.117530,	 -0.301352,
-30.437933,	 6.692597,	 11.267300,	 -0.116974,	 -1.127384,	 -0.316632,
-30.557772,	 5.283739,	 10.863668,	 -0.075250,	 -1.135574,	 -0.331770,
-30.624901,	 3.865775,	 10.441308,	 -0.032328,	 -1.141990,	 -0.346716,
-30.637894,	 2.440980,	 10.000485,	 0.011728,	 -1.146524,	 -0.361416,
-30.595373,	 1.011767,	 9.541546,	 0.056842,	 -1.149065,	 -0.375813,
-30.496073,	 -0.419318,	 9.064901,	 0.102925,	 -1.149510,	 -0.389847,
-30.338852,	 -1.849602,	 8.571039,	 0.149873,	 -1.147757,	 -0.403457,
-30.122686,	 -3.276289,	 8.060528,	 0.197572,	 -1.143712,	 -0.416577,
-29.846748,	 -4.696467,	 7.534025,	 0.245893,	 -1.137286,	 -0.429142,
-29.510336,	 -6.107130,	 6.992255,	 0.294693,	 -1.128402,	 -0.441084,
-29.112947,	 -7.505167,	 6.436039,	 0.343818,	 -1.116994,	 -0.452336,
-28.654285,	 -8.887406,	 5.866280,	 0.393100,	 -1.103008,	 -0.462831,
-28.134258,	 -10.250611,	 5.283958,	 0.442363,	 -1.086405,	 -0.472504,
-27.553009,	 -11.591505,	 4.690137,	 0.491418,	 -1.067164,	 -0.481290,
-26.910910,	 -12.906802,	 4.085960,	 0.540071,	 -1.045279,	 -0.489129,
-26.208591,	 -14.193217,	 3.472641,	 0.588121,	 -1.020766,	 -0.495967,
-25.446939,	 -15.447498,	 2.851457,	 0.635361,	 -0.993659,	 -0.501750,
-24.627081,	 -16.666447,	 2.223751,	 0.681588,	 -0.964013,	 -0.506436,
-23.750404,	 -17.846949,	 1.590914,	 0.726596,	 -0.931905,	 -0.509985,
-22.818552,	 -18.985987,	 0.954379,	 0.770184,	 -0.897431,	 -0.512368,
-21.833424,	 -20.080704,	 0.315615,	 0.812161,	 -0.860709,	 -0.513563,
-20.797125,	 -21.128374,	 -0.323892,	 0.852341,	 -0.821872,	 -0.513556,
-19.712017,	 -22.126455,	 -0.962642,	 0.890553,	 -0.781073,	 -0.512344,
-18.580627,	 -23.072601,	 -1.599135,	 0.926641,	 -0.738481,	 -0.509931,
-17.405701,	 -23.964708,	 -2.231885,	 0.960465,	 -0.694277,	 -0.506332,
-16.190134,	 -24.800873,	 -2.859430,	 0.991902,	 -0.648652,	 -0.501570,
-14.936969,	 -25.579458,	 -3.480340,	 1.020850,	 -0.601806,	 -0.495677,
-13.649350,	 -26.299076,	 -4.093227,	 1.047228,	 -0.553945,	 -0.488691,
-12.330521,	 -26.958576,	 -4.696766,	 1.070975,	 -0.505276,	 -0.480660,
-10.983784,	 -27.557091,	 -5.289681,	 1.092052,	 -0.456006,	 -0.471637,
-9.612475,	 -28.093994,	 -5.870776,	 1.110439,	 -0.406340,	 -0.461678,
-8.219948,	 -28.568918,	 -6.438925,	 1.126137,	 -0.356477,	 -0.450848,
-6.809537,	 -28.981745,	 -6.993083,	 1.139166,	 -0.306611,	 -0.439211,
-5.384543,	 -29.332579,	 -7.532284,	 1.149563,	 -0.256923,	 -0.426836,
